"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"V11",-0.00163822944604168,0.00134783803070202,-0.00258250722609053,-0.00158069618561525,-0.000383438525108551,0.00515384501730787,0.00375565341833746,0.00379081731361197,-0.000319058090025665,-0.00126994782982725
"V12",-0.0018792372159881,-0.0110637002216176,0.00188100075422036,0.0192949634546888,-0.00865264598207925,-0.0068842044660456,0.00296145615085881,0.00888294764186962,-0.00988814144653388,-0.00578987495627453
"V13",0.00115333564482236,-0.00847546092707287,-0.00208565990603862,0.00773126391191251,0.004307089407004,-0.0109513327197163,0.00475741657672465,-0.00980847067283815,-0.000591513569935335,-0.00215303719293842
"V14",0.00214675462581051,0.00150847094753327,0.0137115711685602,0.00386710935597487,0.00379885296438972,0.00409844887475869,-0.00289108914990067,-0.0074949254774947,-0.00228031545773345,-0.0189636306333946
"V15",0.00127759906915313,-0.00593126803580441,0.0110618330594835,-0.000619957963855879,0.00667952938651741,0.00219552648141199,-0.00447115022398115,0.0112208438788092,0.00243313961913833,0.00704720687320338
"V16",-0.00036376539725259,-0.00894955421919142,0.0124629370493105,0.010450812335604,0.00522331005207198,-0.00591998999508722,0.0156789286761879,-0.00243291153923424,-0.00545032206614959,0.00995048146921857
"V17",0.0022426530956734,0.00311048114902196,-0.00303008454887341,0.00503444180509131,0.0174215267257357,-0.00065357730954542,0.00471143445457734,0.0023391638200815,-0.00338586906971713,-0.00597069834930476
"V18",-0.0101137898218251,-0.00213995426694586,-0.00866422540397606,-9.81999498972067e-05,-0.00289369863414324,-0.001478972836451,0.00191229984856259,-0.00283554364347464,-0.00258598222813459,-0.00489968542807292
"V19",0.00854303942766872,-0.00393949039519431,0.00602697882842783,0.0142225693109545,0.0049298814932714,0.00245262657925373,0.00130237929063355,-0.00909858025728666,0.00902287611937197,0.0141283837873968
"V20",-0.0056394278256073,0.00163475799705021,-0.0025916896400765,0.00188886922425486,0.0088140309812618,-0.00418525476798529,-0.00231461389086111,-0.0132532366367211,-0.00850392336796189,-0.00191813293135085
"V21",-0.0033804175219924,0.00408993330660326,-0.00625391684488751,0.0144953557952205,-0.00255779683825072,-0.0145091611127522,-0.00282576532929048,0.00789773054464835,0.00802736750170014,0.00694763694281258
"V22",0.000563183712798735,-0.00151903142184673,0.00807230739426963,-0.00761625433903841,-0.00681389677277774,0.00922250636813249,0.0080554978459735,0.00453283345872879,-0.0118842036237477,0.00205886209559176
"V23",0.00391212287707993,0.000389702355287855,0.00594376643293362,0.0100321621283278,0.0103875417836371,0.00153621625786012,-0.00617804344490957,-0.00972694217443675,0.00922225903914204,0.0102871607581291
"V24",0.000513334646199317,0.00334898017578508,-0.00120591075874583,0.00275150765985354,-0.0170289721408787,0.00454180274211107,-0.00198863459069982,0.0112755368752218,0.017117409781981,0.00260347001196421
"V25",0.000904319116824253,0.00711479389477703,0.000252222060208901,-0.00879829014018819,-0.0091092304843963,0.00540676407606049,0.00966614482515385,0.000817935918900122,0.00640752674853745,0.000142617595262642
"V26",-0.00567665259434197,0.00117946570024408,0.00558372105712098,-0.00782624383431567,0.00383344628692923,0.00393340722230004,0.00608133296932608,0.00616586669545729,-0.00297735748405015,0.00135499832578606
"V27",-0.00721801482219153,-0.0083688505478307,0.000577960553248054,0.000577611461345542,-2.02862386206973e-05,0.000560055711965227,0.00336217956961581,0.00170036985780093,-0.00509785768541717,-0.00102888696542553
"V28",0.00364204778952877,-0.00398787498011071,-0.00439637974173299,-0.00427657980621851,-0.00874559457140974,0.0191519629840358,0.000776356741199393,0.00442411001458635,-0.00433215955308986,0.0245651806693345
