"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"V65",0.0061044014169209,0.00605886314499807,4.39045788633787e-05,0.00433702646551585,0.00607324312594267,-0.00935732841785477,-0.0136953549499343,0.0047932369144478,-0.00634774303454549
"V66",0.0141370382284124,-0.0064411893123395,-0.00232940979952184,-0.007434459571339,-0.000609091066922099,0.000546415858074794,-0.00975991631575561,0.00394538699562562,0.00237472129938783
"V67",-0.00893313560281283,-0.00226139208813409,0.0020630232454354,-0.00316047023804189,-0.00175933315709208,0.000960669990131921,-0.00275941478191801,0.00410146034229035,-0.00250146956883904
"V68",0.00370021754650458,-0.00108129966711818,-0.00387963304630358,0.00527038828993199,-0.00774096326780428,-0.00790623461088808,0.00454220584701357,-0.00589043149170007,-0.00277480588737977
"V69",-0.00245218081048005,-0.00138136872022421,-0.00236225480511456,-0.00124769861102768,-0.00279141282892726,0.000153621991049524,0.000766548152850507,-0.00102408127794107,0.000349258568394691
"V70",-0.00490819632860635,0.00578556714333848,-0.0109145725258614,-0.00592732965737882,0.00347280696995386,-0.0041952467119561,-0.0189863024759062,-0.021837282348038,-0.0109866622365266
"V71",-0.0067632574919692,-0.00533823579602967,0.00173324524161104,0.00441484052274347,-0.00755981835482474,-0.0100076872374446,-0.000792903626800087,-0.00573085123803854,-0.00217366051428429
"V72",-0.000570861248429025,0.00631850362845447,-0.00306696003139144,0.00650848040620827,0.00307032596510578,-0.00371153975501439,-0.00484393866121387,-0.00750131498540905,0.0019277363574398
"V73",0.0122939929646109,-0.00043590385109047,0.0062390187977755,-0.00456877679459448,0.00485030765680074,0.00315916073431256,-0.0106352197628268,-0.0124541511105647,-0.00304580009517204
"V74",0.000489438697972083,-0.003615796334741,0.012369694059132,0.000109083206359692,0.00903728148792441,-0.0126436143581655,0.0252828151913426,-0.00625783501194681,-0.000896713265135457
"V75",0.00822661518979692,-0.00601210525211105,-0.00273869120982935,0.000919886539588381,0.00705210373801861,0.005322244632329,-0.00543103661533435,-0.014102792000019,0.00380660402596508
"V76",0.00230155188031029,-0.00111157446558491,0.00856241554859861,-0.00327989701256234,0.00149187968754989,-0.00934071763773812,0.0216193056099112,-0.0051211915024679,-0.00115509851131414
"V77",-0.00459659943505369,-0.000894693796034602,0.000707121315894922,-0.00115029134820564,-0.00370548329147519,-0.00160437201435129,-0.00287938929319719,-0.00274575919437684,6.15830907452719e-05
"V78",-0.000509769711383854,0.00635438758283544,-0.00391952449452842,-0.000565241902851471,0.00422786278390859,-0.00682368611376595,0.00189670670925528,-0.000254749249598734,0.00871503302155005
