"","X1","X2","X3"
"V52",0.00308614294081457,0.00353591276021388,-0.00191524071225044
"V53",-0.000457554401819474,-0.0019004452320271,0.00414641133773244
"V54",-0.00602024327672203,0.0110599517612639,-0.00344708009248657
"V55",0.00634716755233886,0.000227278146651551,-0.000902052033174291
"V56",-0.00205152495588684,0.00418439534468348,0.00787593889158535
"V57",0.00758553115311282,-0.00559773062056913,0.00581623933924704
"V58",-0.00315239675838398,-0.00612468891297976,0.00544649471699576
"V59",0.0223456252558693,0.0183580874495699,-0.0024460762422789
"V60",-0.00927916318345993,-0.00919354251423931,-0.0151736693889314
"V61",0.0109295444144726,0.00354803242757283,-0.00619517945399856
"V62",-0.000903330924043499,-0.00136973667337884,0.0047005862992954
"V63",-0.00621468617338633,0.00539292318876836,-0.00172782363711613
"V64",0.00123632120501679,0.00603407088052911,0.0139290809360727
"V65",-0.00586310934248075,-0.00203578913382271,0.00980721763740163
"V66",0.00662385087279777,0.0078907410151476,-0.00544535618319682
"V67",0.000752840162977702,0.00292055250949953,-0.00106072270381186
"V68",-0.00220369650491802,-0.00188609341872741,-0.00348415812522528
"V69",0.000721803653707428,-0.00262005133004613,-0.00163375468234891
"V70",-0.00914939855532703,0.0113539593818747,-0.0053426407722754
"V71",0.00360723557502714,0.000106398660475352,-0.00159931840605852
"V72",0.00164020650530417,0.00818998815145521,0.00891632250065909
"V73",0.00480196046452457,0.00382529684236839,0.00800181095395456
"V74",-0.00392794511267953,0.00409770495587755,-0.0059067279785847
"V75",0.00715476689075854,0.00531690305188099,0.00442460289414496
"V76",-0.000107831243794459,-0.000143413753042732,-0.00211537004887916
"V77",0.00250788015913626,-0.00212726421144682,0.000861790463138324
"V78",0.00998599395040586,0.00836204657032676,0.00309393398837563
"V79",-0.00526884664149788,-0.00811594485205794,0.00218870507344344
"V80",0.009542392844085,0.00307052160292051,0.00452691775646958
"V81",0.0053924429039399,0.00560896892652757,0.0190353767338749
"V82",0.00726524476756371,-0.000219039621121225,0.00426843624873109
"V83",0.0303043537836424,0.0168446896758316,0.00957012654995948
"V84",0.000615495461787512,0.00154677722989462,0.000328184372827238
"V85",0.00204259025729761,0.00150060171307149,0.000846564786566203
"V86",0.0136927240594063,0.00282777885824298,0.00591996445296562
"V87",0.0048821050275822,0.00131657753728216,0.000189633058359143
"V88",0.000120516072016588,0.00215274185491115,-0.0025839170980768
"V89",0.00989248750935739,-0.0167977220170992,-0.00140574212912478
"V90",0.00329615897935771,0.00382639977235763,-0.00137526563897162
"V91",-0.0131620952199329,-0.00596217959146007,0.0248610314076394
"V92",-0.00749480472043264,-0.00381742456577026,-0.0105216277213856
"V93",0.00254632906754473,0.00395809825182747,0.000988462667261413
"V94",0.00707174356859186,0.00865030012721529,0.00287561503375338
"V95",-0.0189457584511716,-0.00113827536445538,-0.00478604101197814
"V96",-0.00594227203195721,-2.7518934760403e-05,0.00673072640342209
"V97",-0.00173512855268759,0.00750833375834826,-0.00443077460839546
"V98",-0.00979205072892024,0.00896654954509497,-0.00476173529577811
"V99",0.00148476335241645,0.000839626729279047,0.000363236724168522
"V100",0.0104778165602337,0.00655557676109245,-0.00109477244590443
"V101",-0.00845648601178426,0.0150843188456861,-0.00108262998639831
"V102",0.004198775723964,0.0147288142136873,0.0078458909071554
"V103",-0.00164087271324778,-0.000989518758323497,-0.00380052603328792
"V104",-0.000811213726662033,-0.00334883003255201,-0.000280390935541277
"V105",0.00180021522170871,0.00154401878226865,0.0022162990017153
"V106",-0.0015215461166875,0.000538026871820686,-0.00385086677196178
"V107",-0.00224604438440593,-0.00632338429689385,-0.00177773191554821
"V108",-0.00662708102461058,-0.00933065208951425,-0.00557293809956242
"V109",0.00584028463746216,-0.00145312334677718,6.10232620236325e-05
"V110",0.0113228684739485,0.00308213415329206,0.00118744578227521
"V111",-0.00509931488431081,0.0148072390741562,0.0027011943789937
"V112",-0.00718950435761004,0.0115283488059221,-0.0113655256043571
