"","m"
"V909",-0.0147099126634323
"V910",-0.0126952021984618
"V911",0.00123189923878954
"V912",-0.00948065240192313
"V913",-0.0126425899692807
"V914",0.0357771138359149
"V915",-0.00697393247147887
"V916",-0.0147851908035528
"V917",-0.0135149373504914
"V918",-0.0101093366991852
"V919",-0.00631063809659653
"V920",-0.000601312927556349
"V921",-0.00256531933856465
"V922",7.98716710021408e-05
"V923",0.00206362264036211
"V924",-0.0170524333710134
"V925",0.00202021896823437
"V926",-0.00106319821045692
"V927",-0.0153793861132353
"V928",0.00671871720806845
"V929",0.0120086786787654
"V930",0.000416937352715158
"V931",-0.000296937385451633
"V932",0.00178537193765825
"V933",-0.00732142167525428
"V934",-0.0363413594493282
"V935",0.0013666106999704
"V936",-0.0113465151923149
"V937",-0.0033651083821192
"V938",0.00495967863875567
"V939",-0.00795999884059754
"V940",-0.00754180316862912
"V941",6.05234335637737e-05
"V942",-0.000124825973086859
"V943",0.00063190394985054
"V944",0.000340573371833438
"V945",0.0108058327846139
"V946",0.0102967402979003
"V947",0.00583701218788671
"V948",0.00484109262916684
"V949",-0.00147847149463481
"V950",0.000823723496369368
"V951",-0.00576457490017996
"V952",-0.0102133354663394
"V953",0.00150834826441121
"V954",0.0123788720153082
"V955",-0.00204598399543194
"V956",0.00958838278232791
"V957",0.00689736072244242
"V958",0.00612234085893093
"V959",-0.00722136617504906
"V960",-0.000647023302979797
"V961",0.000634389067029616
"V962",0.019021335547965
"V963",4.76137247300507e-05
"V964",0.000373811394946336
"V965",0.00601084194982712
"V966",0.0105966278650985
"V967",-0.0003063818563764
"V968",-0.000202964095355712
"V969",0.00233495533708347
"V970",-8.58326163270407e-05
"V971",0.00244030438571547
"V972",-0.00120241584674516
"V973",-0.000375630777943615
"V974",-0.00276392117958835
"V975",-0.000660810522476762
"V976",-0.000581876147203284
"V977",-4.11228374721635e-05
"V978",-0.00520318046213178
"V979",-0.00187602803589076
"V980",0.000348796435269272
"V981",-0.0101559936639755
"V982",0.00567096527596202
"V983",-0.00695600052109748
"V984",0.00988869144154067
"V985",0.0016906361106173
"V986",-0.000338045519782893
"V987",0.00977917279005899
"V988",-0.000286748992948065
"V989",0.00137012459438669
"V990",-0.00048976256690568
"V991",-0.00733355449484686
"V992",0.00135059997293301
"V993",0.00046752088379717
"V994",0.0019678309742489
"V995",0.00444511576321906
"V996",-0.00297809027930966
"V997",-0.00215989781574398
"V998",0.0023656439384228
"V999",-0.00746866368204878
"V1000",-0.00274064426690521
"V1001",-0.00675473340372018
"V1002",0.0138864219521699
"V1003",-0.000341461515849083
"V1004",-0.00764659631162861
"V1005",0.00548731386960194
"V1006",0.000131286605774005
"V1007",-0.00550337555935139
"V1008",-0.00174341850359236
"V1009",-0.000763516116774258
"V1010",0.00132431029706291
"V1011",0.000502775230880277
"V1012",0.00512153035702815
"V1013",0.00838330843061234
"V1014",-0.0038397208554203
"V1015",-0.0144779115166617
"V1016",-0.00804614382190745
"V1017",-0.00666526086349248
"V1018",-0.00347390205928268
"V1019",0.00100498967513865
"V1020",0.00383930875500328
"V1021",-0.00197442201276523
"V1022",0.0215400917952541
"V1023",0.0116169801659929
"V1024",-0.00238254091826995
"V1025",-0.0148982310227532
"V1026",0.000798719227728694
"V1027",-0.00284661647640187
"V1028",-0.00685602315784351
"V1029",-0.00773771056225007
"V1030",-0.000945437428260893
"V1031",-0.00398389474061441
