"","m"
"V95",6.73176604260016e-05
"V96",-0.000716387148338275
"V97",-0.000940004505858244
"V98",0.00159484470081916
"V99",0.000114964930160533
"V100",0.0293313334422791
"V101",0.00667305271830645
"V102",-0.00741888570374674
"V103",-0.00622059832745442
"V104",0.00290250501223459
"V105",0.000942021829916068
"V106",-0.0122137577866843
"V107",0.00394478514904666
"V108",0.000623054746363117
"V109",-2.02867359657845e-06
"V110",0.00219302423031695
"V111",-0.000963898573917893
"V112",-0.0275291039767268
"V113",0.0027223515312864
"V114",0.00146790421890858
"V115",0.001656161644688
"V116",0.00229785883613209
"V117",0.000132095146884419
"V118",-0.000209704841349353
"V119",0.00119093278973696
"V120",0.000974638331931014
"V121",0.000359994991170974
"V122",-0.00170248707862876
"V123",0.0022194345929415
"V124",0.000753930453426406
"V125",0.00484375668068267
"V126",0.00384347191530585
"V127",0.000363583404917718
"V128",0.000693389511910622
"V129",0.00603114418010151
"V130",0.00722402672109695
"V131",-0.000455597777685344
"V132",7.24173284407519e-05
"V133",0.00125001365138187
"V134",-3.44602110588523e-05
"V135",-1.91922194235316e-05
"V136",-1.10112016717318e-05
"V137",0.000213903941852958
"V138",-0.00664599495864968
"V139",-0.00176945428602382
"V140",-0.00169531618331432
"V141",-0.0010764227830597
"V142",-0.00096581662843612
"V143",-0.000852708007593783
"V144",0.00086111947809946
"V145",-0.000903205557765486
"V146",0.000246673225363117
"V147",-0.000845434006457394
"V148",-0.0027996285020472
"V149",1.78102929545675e-06
"V150",0.00389279531534394
"V151",4.46033746040038e-05
"V152",0.00404005197282586
"V153",-0.00232982436726009
"V154",0.00015054597420393
"V155",0.00246307195111855
"V156",0.00163725691953098
"V157",-0.000969286939838722
"V158",-2.08770230028913e-05
"V159",-0.0015780830965305
"V160",0.000101609622420342
"V161",0.000396765403693314
"V162",-0.000157252488492027
"V163",-0.00476713619662269
"V164",-0.0044707632411842
"V165",0.000194558005323553
"V166",0.00149805788730781
"V167",0.0185596457329379
"V168",-3.81303082828094e-05
"V169",-3.16733534470293e-05
"V170",2.37392279823005e-05
"V171",0.000276680960917653
"V172",-0.0105759429404897
"V173",-0.00016863482372617
"V174",3.52580706173527e-06
"V175",0.00250339750015497
"V176",0.000887920360939533
"V177",0.00830655234338207
"V178",-0.00836510793032174
"V179",0.0022990821341571
"V180",-5.37391614561934e-05
"V181",-5.76048697527937e-06
