"","X1","X2","X3"
"V46",0.00116740288048914,0.00163722232055213,-0.003998146933856
"V47",0.00181714076406939,0.00351137443855235,0.00229570372106613
"V48",0.000425597111429069,-0.000639803971963485,0.00302608323065283
"V49",-0.00219753510430417,0.0104520434164669,0.00133889646154376
"V50",0.00218790411084924,-0.00266946180780255,-0.00263217305284612
"V51",-0.0104486674875842,0.00471646837303269,-0.0236945499148132
"V52",-0.0100151322058251,-0.0134928344676367,-0.00914622645922
"V53",-0.0108053594381028,0.00581235166960522,0.000901394994103379
"V54",-0.000662510059210765,0.00240182133787883,0.00522939663924559
"V55",0.00568849534927174,0.0126605824097568,-0.00862734445581034
"V56",-0.0277838986379905,0.00520456517666528,-0.0156867484309016
"V57",-0.00200974218532459,0.00197301099313939,-0.00174118021434157
"V58",-0.000201585891529942,-0.000303318009763536,0.000390435260680563
"V59",0.000135282528399611,4.55821878947008e-05,6.6529534984609e-05
"V60",0.000760474832675095,-0.00156508436492934,-8.5279706955234e-05
"V61",0.00376239772628405,-0.0034604662091174,-0.00316091076714677
"V62",-1.47593366977821e-05,7.94085354185121e-06,-3.0232835609677e-05
"V63",-0.000222600470461046,0.000346615407322713,0.000100797274681318
"V64",0.000721878926047203,0.000717623825746553,-0.00131271688875121
"V65",0.00170471865480336,0.00545054641226034,0.00115646630938542
"V66",-0.000277030176322139,-0.00102283389671536,0.000579573356382089
"V67",0.000644060742920562,0.000621384825637124,-0.00054799787162813
"V68",0.000846116463591234,-0.00368350168178172,-0.00141463839189716
"V69",0.00419955014837303,-0.00446263355859633,-0.000598752559667449
"V70",0.000392044005621585,-0.00166331042873418,0.00206710618848154
"V71",0.00324327394252625,-0.00585205646305356,-0.00289928609344797
"V72",-0.000338487236150224,-0.000520297124485535,0.000607630194729339
"V73",0.000557206999615459,-0.00170184796761388,0.00161559615037355
"V74",-0.00166426090856105,0.00231236476541114,-0.00267354256137903
"V75",-3.84325618322684e-06,-3.487387882623e-06,2.80540096955591e-06
