"","X1","X2"
"V53",0.00157271939644016,0.00218441533911488
"V54",1.74259963617923e-05,0.00212748105262321
"V55",0.00100058340904288,0.011664756064072
"V56",-0.00831915868803379,-0.00231524988767539
"V57",0.00695882159814146,-0.00645009248569032
"V58",0.000919463157730149,-0.00606998399347466
"V59",-0.00098366913527472,0.00152207469519721
"V60",0.00871210621274905,-0.0046931616646192
"V61",0.000186599096854587,-0.00614102378327765
"V62",0.0032916019581559,-0.00861541352527698
"V63",-0.00183059517983103,-0.00611172161926706
"V64",-0.00428612446106771,0.00256205859516755
"V65",-0.0129056762326172,-0.00707844559664696
"V66",0.00755024779924568,0.00517819333927265
"V67",-0.00346601114084833,7.07951090152833e-05
"V68",-0.00122274663457214,0.00592937867552922
"V69",-0.00124900124160777,0.00195914326344882
"V70",-0.00284593707703497,-0.00524818313886804
"V71",-0.00705609221446428,0.00661928939781574
"V72",-0.0117361635834623,0.00499344117972437
"V73",0.00220950638134914,-0.0152301089462097
"V74",-0.00437058190874428,0.00302362435126466
"V75",-0.00300784004921231,0.00201579933839161
"V76",-0.00206419973920118,6.54192597251967e-05
"V77",-0.00405241370772766,0.00471019899973528
"V78",0.0138944765522588,0.0100364438219258
"V79",0.0032857781642304,-0.00903546584491155
"V80",-0.000501999820144831,0.00549469204349078
"V81",0.00789227883863211,-0.000483176548770154
"V82",-0.0258460007747254,0.011631189908372
"V83",0.0016073512311835,0.00832343974835398
"V84",-0.015912811825178,0.00736218753796798
"V85",-0.0124007094029787,0.00566208204207127
"V86",0.00651875923290839,0.00701950570260914
"V87",-0.0102405467267517,0.00673066020199891
"V88",-0.0150839521767498,-0.0214763639075296
"V89",0.00246137246381601,-0.00632036225444729
"V90",0.00325880778496157,-0.00474592878341127
"V91",-0.00736504181445635,0.011147515646052
"V92",0.000902294032255523,-0.00421768056901758
"V93",-0.0083706315014556,0.00463750607082713
"V94",-0.00342076967473524,0.00823032331391569
"V95",0.000644975073535786,-0.0040276127363686
"V96",-0.00659574515277685,0.00785659081758652
"V97",-0.00403852732127766,-0.00226531736313561
"V98",-0.00607877317804539,0.00341356832122782
"V99",0.00296834342030123,-0.00351947884635059
"V100",-0.00108045038718961,0.00579265909010328
"V101",-0.00165147646756639,0.00216629337723102
"V102",0.00193362237076615,-0.0153795663003283
"V103",0.0009625848582072,-0.000779839278188644
"V104",0.00597872678937439,-0.00328070367158327
"V105",0.00210055304257483,-0.00230948751490478
"V106",-0.00817232656924076,-0.000184141425153018
"V107",0.00498270260209567,-0.000819723159407772
"V108",0.00892736759405758,0.00452905520331413
"V109",0.000567506089354107,-0.0120507951866811
"V110",-0.0048826494499974,0.00355682818657592
"V111",2.93677580502075e-05,0.0137960969431577
"V112",-0.0128443986834076,0.0100768772081529
"V113",-0.00452584242572908,0.000957484740350317
"V114",0.00281025027371965,-0.00792062620242354
"V115",0.00277418127183904,0.0133471387827765
"V116",-0.00540230408458643,0.00967542559540145
"V117",-0.00480914520761079,0.0115610756769784
"V118",0.0116625459677435,-0.00339426549106853
"V119",-0.0161332619200733,-0.00930006041096337
"V120",-0.000423362482645393,0.00437021762453608
"V121",-0.00067536459828828,-0.00066962046046921
"V122",-3.34607889108713e-05,0.0178280476476574
"V123",-0.00522974947069352,0.00446929996659185
"V124",-0.00137617611836186,-0.00860242763934019
"V125",-0.00739559901191076,0.00595669428274004
"V126",-0.00390925083770053,0.00143901499417522
"V127",-0.00892003105127253,0.0103478284462929
"V128",0.00854610929024805,0.0157722499710784
"V129",-0.00368740361554582,0.00616586212267208
"V130",-0.00571815400313951,0.00218055850743828
"V131",-0.00171155170276586,0.00124689530677129
"V132",-0.00638764568731989,-0.00356658711077251
"V133",0.000828398081314285,-0.0115280973975325
"V134",-0.00573874452931467,-0.00820497806001357
"V135",-0.000257212680460244,-0.000582028852559788
"V136",-0.00280828695484637,0.00109420500551596
"V137",-0.0042102078154211,-0.0134967639411106
"V138",0.00302244699821167,0.00948395627617242
"V139",0.00100297136012644,0.00475196936618475
"V140",-0.00365700992349201,-0.00269278307184001
"V141",-0.000614855574115888,0.0041872578857384
"V142",0.00438875727662893,0.00267190622795321
"V143",-0.00522448523443569,0.005209713270201
"V144",-0.00358313336729816,0.011262954627782
"V145",-0.00454857339181284,0.00351196526749999
"V146",-0.00713210035815528,0.00342691909662918
"V147",0.00253039492388283,-0.00119286305702024
"V148",-0.00950139245055136,0.0076067898146013
"V149",-0.00838050725355689,0.00662412620301112
"V150",-0.0116766897007315,-0.00285210478031057
"V151",-0.0149670269337853,-0.00961832352852996
"V152",-0.000796637345766024,0.00807244488003078
"V153",-0.00386123541950922,6.9982926646141e-05
"V154",-0.0131150395664807,0.00154041568144816
"V155",-0.0109604544770315,-0.0147357119300684
"V156",-0.00327120735988256,0.00640676902843738
"V157",-0.01228683225931,-0.00487396110094108
"V158",0.00532938677591939,-0.0012450323620435
"V159",-0.00738319505822007,-0.00180021719620552
"V160",-0.0010258983243681,-0.00242818979794499
"V161",-0.0133887464210725,-0.00311692694043018
"V162",-0.00230693568073855,0.000969221804833541
"V163",-0.00150982452883214,-0.00661300924936261
"V164",-0.00843526615741483,-0.0161446955929461
"V165",-0.0132062085703636,-0.00681796422890244
"V166",0.00183668555569197,0.00378984840566125
"V167",-0.00569305225849667,-0.00502794537357319
"V168",-0.00964751619647764,-0.000816205353042085
"V169",-0.00742735608611304,0.00279517972557412
"V170",-0.00709915910009727,-0.00438780653408931
"V171",-0.00912970384442581,-0.0104495138146033
"V172",0.00261321880532358,0.00441992700079248
"V173",-0.00592107562883351,-0.00635036876459562
"V174",-0.00607489322662436,-0.00779823010619244
"V175",-0.0051717164631535,-0.00759683181055474
"V176",-0.0010374984260803,0.0108316078353801
"V177",-0.0106620372069035,0.00862541940992012
"V178",0.00481349143598581,-0.0063025099112986
"V179",-0.00669694388454017,0.000385001646988324
"V180",-0.0171482943129949,0.00355372947771383
"V181",0.00797954751407188,-0.00674747212476257
"V182",0.00144305406322778,0.00353697493686792
"V183",-0.00308869397733322,0.00308272746574359
"V184",0.000584583064823189,0.000719818138902828
"V185",0.00599251883719123,0.0153402774574998
"V186",0.00220294393789361,-0.00489203639345232
"V187",-0.00086294282759829,0.0193631597717633
"V188",0.00414070000839685,0.0114882662870353
"V189",-0.00592291616966556,0.00185792005400775
"V190",0.00723193935777232,-0.00253474099504591
"V191",0.000479676983364503,0.00598938008056286
"V192",0.00486480239040543,0.0149771008121342
"V193",0.0024922160566956,0.00564478581815353
"V194",-0.000694259680753837,0.00193904878965457
"V195",0.00503274934262643,0.0200427808543823
"V196",-0.00988204550811994,-0.00540787270811693
"V197",0.01023286473073,0.00578252441698809
"V198",-0.0104375448283399,0.00854043006550435
"V199",-0.00098534835691371,-0.00563435654223114
"V200",0.00109063259412501,-0.000990820872961224
"V201",-0.000892036493941315,0.00286315877368084
"V202",-0.00858206099511043,0.0102444476495643
"V203",-0.00485459865273749,0.00716339190547286
"V204",-0.00420178990578852,-0.0158165292926073
"V205",-0.0054740542041051,-0.000985519667616818
"V206",0.00108289006600089,0.0114291078731275
"V207",0.00236525705312229,0.0187970215839318
"V208",0.00632936544456487,-0.00969032326364885
"V209",-0.0048597746208871,-0.0089820849873146
"V210",-0.00133145718266119,0.000438032359095354
"V211",-0.00216058721197632,0.00185241652200986
"V212",-0.00561956564746386,-0.00731360296428
"V213",0.0110481011915679,0.00579864906508391
"V214",0.0192490592540549,0.00699197618965461
"V215",0.00687856537279314,-0.00432371987786544
"V216",0.000615909903033458,-0.00280908093124695
"V217",-0.0016790433533437,0.00688935790607032
"V218",-0.0012393689217306,0.00808007552893535
