"","X1","X2","X3","X4","X5","X6","X7"
"V16",-0.00189338693281792,-9.29566679776343e-05,0.00542281707709203,0.000809187458269871,0.00177116868310535,-0.000246616192141295,-0.00283611108805046
"V17",0.00690028101165093,0.006443510645138,0.00228240784193846,0.00734712942976101,0.0187195518228206,0.0203477915398517,0.00637373353860497
"V18",-0.000567267829772084,0.000810229990707318,0.00181303348826221,0.000439174332991373,0.000795443008456715,-0.000755549178550681,-0.00102038100640055
"V19",0.00189761519536517,0.0111598432458115,0.00314297963850574,0.00197472723666846,0.00231533142780219,0.0165245333319145,-0.00250989452838816
"V20",-0.00131004101084657,0.0116303183037671,0.0168701450839211,0.0179211969731912,0.0237534235227938,-0.0113624297871648,-0.000253370579177905
"V21",0.00611703946526526,0.00510787711626229,0.00305530486543358,-0.0093762823354921,0.0102857270537428,-0.0012475372739183,0.0137938898443075
"V22",-0.00633090237028231,-0.00784257322256077,-0.000765690748432071,-0.00782229134038282,0.00638729531114226,0.00504611712755294,-0.0119421081140777
"V23",0.00230640752711281,-0.00499439960525631,-0.00167524655131702,-0.0114831045891345,-0.00301910206569312,0.00560455533433752,0.00164204205230883
"V24",-0.01372597170028,0.00255280584836426,0.00902812647516255,-0.014488521427482,-0.00732295456016369,0.00196967546780941,-0.00395563203151955
"V25",0.0017506807748974,0.00218751845784841,0.00310172005179024,-0.00232688969764915,-0.00486247963416372,-0.00188257675178373,-0.000384560982619133
"V26",-0.0130232602057677,0.00755401218230573,-0.00184683707507302,0.00258428592220587,0.00799253770981418,-0.00667136171104671,0.0056441107174974
"V27",-0.00514479171557261,-0.00620974414674014,0.00997255550086845,-0.00986125541153036,-0.00306507148730769,-0.0106672063948922,0.0114412538207965
"V28",-0.00359409821642426,0.00989508463252137,-0.00254458360757482,-0.006560274476355,-0.0199474165148191,-0.00289422206809559,-0.00386032182749355
"V29",0.0138941562191528,-0.0183099705241017,0.00110664448057933,-0.0102932540133444,0.0104224429391126,-0.00135099217803433,-0.00341901285104597
"V30",-0.01038256096637,-0.00203909074786008,-0.0117208069824504,-0.00831233091169486,-0.00248390047119845,0.00543880052877631,0.0184682781593074
"V31",-0.00487765758158074,0.00650925987583654,0.00380180604098299,-0.0103145366907919,-0.0045867683481764,-0.00127482480916604,0.00903961037291012
"V32",0.00174271783422466,-0.00117784308723373,0.00981941456963021,0.0104723520809442,0.00130048682391152,0.00900375219814762,0.00448778049304523
"V33",-0.00768354242766484,-0.00981059740592183,0.00347309794135216,0.00178847524879621,0.00109846558798421,0.0120045212174496,-0.00100991547532441
"V34",0.00611501340925388,-0.00238321531093484,-0.00444581029249155,3.26784315856205e-06,0.00616169408973394,0.00587324443122641,0.011662951209301
"V35",-0.00388075403847081,0.00642900837294461,0.00398503938850868,-0.00429421146327735,0.0167195630206812,0.00398208744131347,-0.00130020635557216
"V36",0.00122358997114169,-0.00374805203081566,0.000820849203566205,-0.00664021701028667,0.00039523296752673,0.00567875506088445,-0.0167186980313907
"V37",-0.00524870067803437,-0.0119479318066999,0.0115397599657725,-0.000616527885482665,-0.00385089294528509,-0.00203787079118058,0.00786312101052248
"V38",-0.0210171346409529,-0.00547485821408052,0.00634950293378306,-0.0171635815807168,-0.00383605875931458,-0.00105495457803677,-0.0089938733787279
"V39",-0.00321838878506032,-0.000313638302173937,0.00266292609582583,0.00336046633887725,-0.00493697241717108,-0.0029640440500695,0.00132055119389164
"V40",-0.00508344163839941,0.00116977700266325,0.0046610840053609,0.00463832120616788,0.000632947119190736,-0.00223759279171315,-0.00615888809495356
"V41",0.00524848466321419,-0.015712004204887,0.00300932960012541,0.00111775073391875,0.00611220008356045,0.00177869553947553,-0.000482469164387508
"V42",-0.0166805537261964,-0.0101129882557298,0.00238264428228766,-0.0306319307248026,-0.00580351486303466,-0.00720948615848599,-0.0089248333345186
"V43",0.0148851414576475,-0.0167250187519676,0.00815012945093613,0.00106764193848728,0.0112497542570769,0.00291802670953693,-0.0103388739941776
"V44",-0.00238181807672557,-0.00235997343231548,0.000857108497548705,-5.0384696732751e-06,0.00292273080256299,0.00177100630955579,0.00833432205279898
"V45",0.0104592967382613,-0.0107543345260449,0.0065213445832192,-0.00606080515905407,-0.00773209009635522,0.00906846998524383,-0.005457582863486
"V46",0.000552680855122528,-0.0250078684210633,0.00047417207819941,0.00296219656619352,-0.00108068390460375,0.00295175206143875,0.00520056062668982
"V47",-0.000391103435963775,-0.00246632974494797,0.00164687184600603,-0.000140810186290811,0.00100083385248447,0.00207900727639184,-0.00108470644228539
