"","X1","X2","X3","X4","X5","X6","X7"
"V17",0.0351273165386442,0.104299737908367,0.00667700427793049,0.0033888995188994,-0.013575447227571,-0.000973612156948843,0.003100609218503
"V18",0.0291401167304099,0.0747577772227598,0.0209400579891113,0.001827292565698,-0.00397046046955911,-0.0346857886899637,-0.00157414916069003
"V19",0.000165320949627129,-0.000367659807518277,0.000492069699951451,0.000149370034676779,0.000225715044223845,-0.00136156576635522,-0.000536847744165779
"V20",0.000924711155875524,-0.0013170599012954,0.000662079266071507,-0.00157421473107031,-0.00058129918505729,-0.00249741070497201,-0.00348397230877398
"V21",0.000319398990707966,-0.00128347835354196,-0.0011449461957809,0.00113969632414578,-0.00345482970753808,-0.00121448537259779,-0.00330309793446456
"V22",0.00134333517389193,-0.00388687591238588,0.00405542391599013,0.000729726898441152,-0.0124097281059435,-0.0128522285820155,0.00226521979659828
"V23",0.00108482843937535,-0.000655530562174878,-0.00852069731390166,0.00973982401077196,0.00612874570590721,2.65813416162049e-05,0.00230248814324859
"V24",0.00923786664099065,-0.0146956702567864,-0.084321323734144,0.139271444617539,0.0570253584323919,-0.00854364042326195,0.00520284063010018
"V25",0.0010091181541887,0.00244299546549114,0.000478106543432642,-0.000222294840673843,-0.000342079139017963,-0.00140416819557313,-0.000304707163976937
"V26",0.000126525111309679,-0.000388310068718181,0.00045492600415364,1.37453950781598e-05,-0.00127148154516216,0.00123017187741051,-0.00143684508285509
"V27",0.000183708683090867,-0.000426208960633942,0.000974840564395973,4.96130834216594e-05,0.000322252365802828,0.00397227072592525,-0.00395695168792364
"V28",-0.000739492726434506,0.00204429553599968,-0.00780530403469706,-0.00977253990450597,0.00225634087121503,-0.00122513293636625,0.000157094731122612
"V29",0.000295414950656793,-0.00056217817805172,-0.0056721705957047,0.00432173858135171,0.00326230999330558,-0.000578122122008766,-7.20639080110175e-06
"V30",2.79040179174121e-06,3.07824768691543e-06,-1.53695948240173e-05,2.55136615647795e-05,1.60045814840332e-06,8.40870828855278e-06,2.40942385578001e-05
"V31",0.0001392036203973,-5.71409823502616e-06,2.54738727051992e-05,4.41254294926897e-06,-0.00180041275942185,-0.00100820987645192,-0.000648816634366805
"V32",0.000149642579134477,0.000176382151619022,-7.98034331955118e-05,-8.11031528286605e-05,0.000114885369465055,3.39766339913095e-05,-0.000297064013144413
"V33",0.000173261221306298,0.00116743231966932,0.000610754696974536,-7.35252168861708e-05,-5.4720759191905e-05,0.000735665265236367,0.000639880139648247
"V34",5.84294885291997e-05,-0.000227232876877422,0.000517136368332964,1.89843703097935e-05,5.97610945689612e-05,0.00203981099313564,-0.00172187542715998
"V35",-0.00014719801310359,-0.000263240797158816,0.000346319511839306,0.000195264455865055,0.000652058171788408,0.00157143926484825,-0.00194214718733721
