"","X1","X2","X3","X4","X5","X6"
"V69",-0.00478401927621865,-0.00621711258134745,0.00801003115642502,0.00402994912604783,-0.00179269435885165,-0.00455120426491164
"V70",-0.000140279812134055,-0.000120088840275596,0.000202831095249522,1.32943223766803e-05,-6.33181039061842e-05,2.87066452989955e-05
"V71",-0.00468729024260055,0.0118071630551233,0.00389229860301922,0.000510315696537748,-0.000162621482883216,-0.00270624630722508
"V72",-0.000508572653925167,-0.000231694262396824,0.000160144891258276,-0.000169646327860659,0.000131382559228042,0.00068444143913682
"V73",-0.000786251122852345,-0.000245534773994449,0.0011845845194754,0.000238768767607409,-0.000234983753464565,0.000242216024732194
"V74",0.00234592946224198,-0.00906223214028018,-0.00630193687169765,0.000133105885883506,-0.000885880338079731,-0.0067767010202734
"V75",-0.000209986068034271,-2.94640922437741e-05,-0.000230534540221518,-3.59875913232409e-05,3.48142524986206e-05,-2.79465319856065e-05
"V76",0.00234717134810932,0.000329675013823589,-0.00364538816973717,0.000676297608185156,0.000589115146624254,-0.00425028554238227
"V77",0.000137062952690263,0.000121779162783516,-2.41315016797516e-05,4.06079502770361e-05,0.000137494814644014,-0.000217189043460187
"V78",-1.47372661701741e-05,-2.04540887355963e-05,7.34481057665716e-06,-4.06176837154693e-06,-4.08451856645145e-06,1.26618988662575e-05
"V79",-0.000375295819527707,0.0111519405539992,0.0024865171672961,-0.00211234078725348,-0.000491018107607987,0.00701778481709957
"V80",0.00697529974336753,-0.00728295568417888,-0.0113945647079235,-0.000437600614209066,0.00031620271777897,-0.000674387541472345
"V81",0.00061402279779692,0.0124394754043482,-0.00176420901962076,0.00240338417741886,0.000201203415542502,-0.00379281001556295
"V82",-0.00425940480399113,0.00709832063558616,0.00717547931899721,-0.000104421029102498,-0.00163133868092377,0.00936071679906928
"V83",0.000422155747644849,0.0157022579342829,0.000844279670019479,0.00182032326776911,-0.00267399961491536,0.00247422586127008
"V84",-0.000113203943041593,1.47678147714931e-05,-3.80644685967943e-05,-2.75585763039332e-05,-1.10130678197902e-05,9.73602126041364e-05
"V85",-0.000754711725277209,0.000459226854413053,0.00125531891352977,0.000825932597728924,-0.000209526150403937,-0.00107750173755549
"V86",0.00045787989668981,-1.12928817052276e-05,-0.000750439536337135,0.000212401666196744,0.00141164195641067,-0.00093732360851111
"V87",-0.00039885199671488,0.000717639585455342,0.00244786383443538,-0.000926549245727813,-0.00138963727071895,0.00617259899574684
"V88",0.000705522412489104,-7.23531867707038e-05,-0.00116857009231564,0.0010360206514459,0.000297433874529569,-0.00083123916431534
"V89",0.0043320541035133,0.00699028763896861,-0.00535690359635564,-0.00205753652825102,0.00148607653818826,-0.00442425879651489
"V90",0.000134432343766939,-0.000638721253673683,-0.000557356108301528,-0.00022342206474172,-9.69991460031332e-05,0.000725114411233681
"V91",-0.00022470930902165,-0.000183417653636582,0.00151595689500128,0.000552295707536101,0.000325865634128465,-0.000201428912593945
"V92",0.00163352047772398,0.00100376244783388,-0.00388720989637667,0.00200879492320987,0.00053404545512377,-0.00395061223480263
"V93",0.00142617984978796,0.00165828431804824,-0.00487085357845259,0.00180298889476655,0.000585531222511872,-0.00492512978897241
"V94",0.000446916596498256,0.00198406353691536,-0.00259126818571487,0.000859107855824776,0.000627989050604875,-0.0015046391406763
"V95",-1.61578005961995e-05,0.000134610537529811,8.1351217662161e-05,-3.86747308338788e-06,-1.85917368832703e-05,-1.93926755055099e-05
"V96",-0.000800592965795129,-0.00100188304754443,0.000948311599958233,0.000160454916880096,0.000208069270288669,0.000609983744392511
"V97",0.00162616575697613,0.00496789778135878,0.0022152849471233,-0.000285191520573235,0.000693876162625313,0.00151683330484794
"V98",-0.000950349631458594,-0.000583969041177852,-0.000757370473120921,-0.000229745929153506,0.000225775424489841,0.00044066334990854
"V99",-2.28394297267144e-05,-0.00643675169466691,-0.00325746944106273,-0.000610004604976983,-0.00106991080972669,-0.0005649509113354
"V100",-0.00515624419592718,0.00377374868549939,0.00581764247181306,0.000427083162605008,-0.00184533017383166,0.00301941971180493
"V101",0.00329530625195757,-0.0127825819245471,-0.00394879987428275,0.00128450870637793,-0.00127550248481262,-0.00661718835188588
"V102",0.00453778353965697,0.00378035849733001,-0.00226419069306156,-0.00363363049290482,-0.0013944139827383,0.0117069959978098
"V103",0.00625079650397128,0.00545300833928334,-0.00667213072302931,-0.00221746844889048,-0.000259346414096142,0.00368752722131838
"V104",-0.000250705568978564,0.00775119484453051,0.0023719884364584,-0.000672496575853698,-0.00226341956207065,0.00515887361061919
"V105",-0.00571422447596281,0.00812495511292163,0.00227054241251148,-0.00368007724453739,-0.00288415117028951,0.0110241165866502
"V106",-0.000717375450509031,-0.000367033538494289,0.000206552965808546,5.57444859595469e-05,0.000147620243971708,6.85281774847922e-05
"V107",0.000144296592047528,0.000380950270173963,0.00225495333347855,-0.0006129502738175,0.00282540384485221,0.00368218204303187
